simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd,redshift,mass1_detector,mass2_detector
18776,61818.6247,1518447589.71,1.1883975,-1.1369678,68.090161,-65.143456,2.1315353,187.91744,5.5733113,1.6896472,0.90275341,-0.20748048,11.70143,0.21323,0.213525,0.00263,0.079588,38.827774,0.531812,258.553134,50.080418,0.0411334,5.8025605,1.7591481
18787,64276.0303,1730767434.08,0.27512993,0.6470035,15.763784,37.07057,2.2274367,190.12396,5.1307206,1.2018012,0.60307622,-0.33646294,11.997123,0.14793,0.138473,0.036712,0.033471,47.321249,0.610459,275.41214,62.50196,0.0416023,5.3441704,1.2517989
18798,61102.9138,1456610170.76,3.8340505,-0.030394403,219.674912,-1.741471,2.2696401,318.39979,3.3733459,1.3447347,0.7855292,0.091507673,11.949652,0.16618,0.268397,0.023103,0.105658,35.907206,0.643333,462.99273,166.469279,0.0683655,3.6039664,1.4366682
18801,64450.1689,1745813014.66,2.9834641,0.25001337,170.939901,14.324711,2.2800908,688.17358,4.8912406,1.2934588,0.62662709,0.009046698,11.967958,0.1596,0.13324,0.025692,0.037513,29.447658,0.651299,548.012451,176.333541,0.140874,5.5802892,1.4756735
18802,62013.6478,1535297590.34,2.0044026,0.49747572,114.843809,28.503259,2.2375115,329.18938,4.7297931,1.2044704,0.8962869,0.33903891,11.99634,0.14827,0.362912,0.064264,0.102107,44.783721,0.618408,437.716901,104.747307,0.0705743,5.0635949,1.2894751
18813,61142.2154,1460005831.53,5.9702962,0.40829593,342.072775,23.393634,0.66933375,486.61782,11.124227,1.5033293,0.89478582,0.24877189,11.865058,0.1871,0.107831,0.013541,0.02876,35.08893,0.784235,585.140155,152.980269,0.1021252,12.2602909,1.6568571
18815,61938.973,1528845686.02,4.7564223,-0.14001843,272.522923,-8.022465,0.31182033,449.1559,9.4498577,1.3669225,0.88135129,-0.17845368,11.938858,0.16908,0.177052,0.044499,0.040467,73.935023,0.951777,521.59246,186.682412,0.0947272,10.3450163,1.4964072
18830,62877.146,1609903829.5,5.7794558,0.73567377,331.138425,42.151002,0.96753143,626.34975,16.801836,1.5272278,0.96996498,0.19657196,11.848298,0.19035,0.145098,0.024855,0.036646,53.717087,0.567334,1232.867777,582.919063,0.1291677,18.9720905,1.7244963
18857,61150.4497,1460717273.6,5.5840162,1.2374538,319.940561,70.90088,0.71886439,473.82007,3.6007566,1.2765064,0.32685608,0.4871552,11.973871,0.15743,0.070892,0.011284,0.024459,53.026992,0.752554,460.915781,139.042482,0.0996053,3.959411,1.4036532
18878,63094.7658,1628706181.7,5.712573,-0.34721257,327.306323,-19.893815,0.40791731,806.60039,2.4998987,1.3368834,0.62799859,-0.076639093,11.951738,0.16518,0.205102,0.009808,0.09025,65.369648,0.917949,704.36498,204.159743,0.1628938,2.9071167,1.5546534
18890,64046.6072,1710945279.71,3.5669926,0.57261004,204.373622,32.808139,2.4095666,338.66202,2.439425,1.1564608,-0.3074539,0.23806232,12.007872,0.14222,0.024195,0.006823,0.007856,45.245649,0.743822,395.827388,110.634263,0.0725083,2.6163036,1.2403138
18899,61216.4511,1466419796.19,3.4065628,0.082496593,195.181671,4.726707,0.65049658,665.65337,3.2034352,1.2558749,0.81514198,-0.39778656,11.980791,0.1548,0.315116,0.033152,0.120717,41.007317,0.795783,553.826942,187.891792,0.1366272,3.6411116,1.4274616
18905,63535.6051,1666794697.34,2.5363425,0.10820021,145.321721,6.199415,2.4123711,708.72331,11.429341,1.5697328,0.96062464,0.44651332,11.816255,0.19618,0.218305,0.035705,0.055706,48.950398,0.745693,670.341588,175.910746,0.1447321,13.0835335,1.7969235
