simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
14662,62647.1644,1590033418.87,0.58816686,-1.0671879,33.699479,-61.145363,2.3337691,931.37554,21.384108,1.420877,0.21474184,0.14220439,0.1855647,21.384108,1.420877,18.0370661,1.1984812,11.912873,0.17613,0.0,0.0,0.0,58.747665,0.691073,989.631877,355.865167
14663,61531.4272,1493633726.92,0.97372012,-1.5034621,55.790053,-86.142033,0.38081143,643.5492,18.007198,2.1962895,-0.14333656,-0.31178275,0.1324396,18.007198,2.1962895,15.9012435,1.9394319,-118278457704816.0,-0.0,2.761848,0.0,0.744596,25.643631,0.928363,678.096695,176.777072
14664,62236.9112,1554587547.14,0.91811859,0.1454137,52.60432,8.331591,0.16783082,506.74563,13.232737,1.7721603,-0.50114477,-0.43031096,0.1060733,13.232737,1.7721603,11.9637076,1.6022088,11.591716,0.22576,0.0,0.0,0.0,50.726927,0.985949,350.642847,114.436178
14665,64019.6814,1708618890.44,4.1968622,-0.3529637,240.462491,-20.22333,2.5385654,765.6821,13.685605,1.2339739,-0.43217584,-0.17385958,0.1553434,13.685605,1.2339739,11.8454869,1.0680581,11.990192,0.15198,0.0,0.0,0.0,57.849279,0.823623,734.654505,243.253354
14666,64084.0572,1714180957.28,2.3476762,-0.38874535,134.511938,-22.273468,0.83173977,660.06896,11.923009,1.9799999,-0.63517147,0.095312789,0.1355711,11.923009,1.9799999,10.4995707,1.743616,11.095266,0.26353,0.0,0.0,0.0,37.716463,0.673591,825.127931,218.736123
14667,63288.1327,1645413081.16,1.8063064,0.17120042,103.493733,9.809062,2.8094095,881.5573,20.655994,2.3019199,0.67649901,0.31051868,0.1765749,20.655994,2.3019199,17.5560388,1.9564585,-665349413828480.0,-0.0,2.990653,0.0,0.806144,30.16465,0.945333,1057.17682,393.591261
14668,61044.9949,1451605974.41,2.4350926,1.2233005,139.520529,70.089956,0.86806385,495.1607,12.751686,1.9932384,0.56978697,-0.29703167,0.1038031,12.751686,1.9932384,11.5525004,1.8057916,11.038385,0.26666,0.0,0.0,0.0,72.066739,0.646305,637.254596,150.684326
14669,62666.5869,1591711528.23,5.0499864,0.33060523,289.342907,18.942284,2.0277835,562.44551,11.599666,1.3935343,-0.54713064,-0.17266476,0.1169045,11.599666,1.3935343,10.3855483,1.2476754,11.927352,0.17253,0.0,0.0,0.0,42.40083,0.441246,838.066889,317.600091
14670,63548.5298,1667911394.25,5.7576734,-0.7644305,329.890386,-43.798641,2.6794807,393.29249,17.91721,1.8532767,-0.33027273,-0.39565498,0.0835705,17.91721,1.8532767,16.5353438,1.7103426,11.450847,0.239,0.0,0.0,0.0,57.848974,0.895113,980.378352,321.590983
14671,62163.9572,1548284317.57,0.0029685332,-0.79594728,0.170084,-45.60442,0.99167978,686.96536,9.8316498,1.7490844,0.29496178,0.1331967,0.1406466,9.8316498,1.7490844,8.619365,1.5334148,11.624834,0.22219,0.0,0.0,0.0,31.717192,0.547285,975.547153,279.675034
