simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,radius2,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
2782,61021.8765,1449608548.37,5.8047902,-0.4310583,332.589979,-24.697821,1.6614452,1202.4794,8.6213948,1.6799695,-0.44177044,0.01344134,11.711299,0.21183,0.0,0.062481,0.0,51.839436,0.090525,1973.055757,578.917002
2783,63677.2255,1679030702.44,3.7225661,0.66851686,213.287326,38.303195,2.386114,548.99306,7.4503277,1.4423163,-0.22878611,-0.032578007,11.902321,0.17895,0.0,0.092245,0.0,37.031098,0.727943,573.471459,173.720753
2784,61215.578,1466344358.14,5.5094821,-0.33491147,315.670072,-19.189014,0.4892124,1392.1159,7.0303686,1.7644771,-0.6024452,0.035119817,11.603057,0.22457,0.0,0.027465,0.0,67.092301,0.882703,1275.095898,395.90584
2785,63466.0756,1660787350.91,3.342383,-0.87888137,191.504439,-50.356193,0.87862159,1023.0067,9.5452867,1.6072881,-0.63704404,0.023305022,11.78392,0.20142,0.0,0.084948,0.0,68.747539,0.638213,1483.338004,532.540466
2786,62530.2566,1579932587.76,1.0024732,-0.05342935,57.437483,-3.061276,2.6268957,2181.3474,31.852104,1.9753662,-0.50547503,0.041823121,11.114695,0.26245,0.0,0.181244,0.0,25.303269,0.870442,2233.490429,662.008209
2787,61777.6528,1514907618.76,4.3013162,0.78784684,246.447265,45.140299,1.8282853,438.72894,15.691515,1.4498847,-0.66279926,-0.033585081,11.897649,0.17996,0.0,0.210441,0.0,25.048792,0.254653,667.758939,154.826459
2788,61429.3923,1484817909.25,2.747493,-1.2439404,157.419753,-71.272535,0.71243515,1997.9064,66.423343,1.5585424,0.87648489,0.019391903,11.823906,0.19465,0.0,0.903063,0.0,42.23937,0.756772,2283.523526,673.156891
2789,63509.0848,1664503341.66,4.950441,-0.89955573,283.639376,-51.540747,2.8089775,1651.4922,10.426603,1.7492289,0.98049479,-0.046520472,11.624601,0.22221,0.248557,0.102667,0.026447,67.922116,0.945192,1624.8382,633.985556
2790,63275.9944,1644364334.12,6.0073953,-0.15199522,344.198397,-8.708685,0.97516802,152.85951,8.931042,1.2254303,0.058133161,-0.0032739564,11.996958,0.15084,0.0,0.173571,0.0,52.428615,0.561029,241.138514,47.245871
2791,61490.6618,1490111595.9,3.9866628,0.025016376,228.418953,1.433333,2.4547786,1172.8892,10.703505,1.545498,-0.19331349,-0.034886628,11.834066,0.19286,0.0,0.121742,0.0,70.155793,0.77327,1754.479971,559.83357
2794,61407.6943,1482943202.45,5.0326254,0.89256813,288.348195,51.140387,0.87078774,830.61202,5.9178669,1.4896234,0.19374737,-0.04831353,11.873464,0.18527,0.0,0.064714,0.0,56.385884,0.644224,1267.683991,443.390472
