simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius2_source,compactness2,mej_tot,mej_dyn,mej_wind,phi,costheta,distmean,diststd
1254.0,61309.8946,1474493307.23,4.7330201,1.2752678,271.182076,73.067463,2.3362742,245.93253,7.1529051,1.0856176,0.63814984,0.018935505,0.0533637,7.1529051,1.0856176,6.7905368,1.0306199,12.034836,0.12646,0.146804,0.067467,0.020211,30.0,0.692882,723.180507,184.701848
1255.0,63301.2537,1646546737.72,2.6073191,-0.33342583,149.38838,-19.103893,2.5380806,196.96651,10.693689,1.2044181,0.82752289,-0.42604584,0.0430545,10.693689,1.2044181,10.2522822,1.1547029,12.008256,0.142,0.153753,0.065858,0.02233,30.0,0.823347,228.424362,45.646041
1256.0,63751.7078,1685465971.71,4.7571512,-0.88841921,272.564686,-50.902671,0.8094251,463.76976,11.911707,1.635085,0.94555804,-0.26386559,0.097621,11.911707,1.635085,10.8522954,1.4896627,11.873436,0.18527,0.218919,0.04397,0.044487,30.0,0.689915,792.084997,246.643002
1257.0,62660.0307,1591145071.55,0.97548455,-0.29205387,55.891148,-16.733454,2.2324289,385.5913,4.5209947,1.3158126,0.54319559,0.43378806,0.0820203,4.5209947,1.3158126,4.1782901,1.2160702,11.99171,0.14975,0.141477,0.029901,0.03427,30.0,0.614406,991.084553,328.064127
1258.0,64264.9593,1729810904.71,0.068565181,-1.4355888,3.928495,-82.253179,0.58926475,839.02138,9.111815,1.9244335,0.89823376,0.25976689,0.1688346,9.111815,1.9244335,7.7956408,1.6464549,11.746321,0.20699,0.15495,0.006739,0.039238,30.0,0.83135,748.07916,228.298676
1259.0,62329.772,1562610717.5,0.50139444,-0.0073698428,28.727785,-0.422261,2.7575311,745.86001,7.173373,1.4869573,0.75405473,-0.14330537,0.1516641,7.173373,1.4869573,6.2287022,1.291138,11.96878,0.1593,0.167417,0.038577,0.033947,30.0,0.92715,438.275923,143.595181
1260.0,62632.331,1588751812.21,3.7071151,0.42497631,212.402049,24.349349,0.27773474,782.83202,16.072374,1.5411504,0.9276814,-0.06521367,0.1585152,16.072374,1.5411504,13.8732527,1.3302807,11.954418,0.16433,0.157458,0.050963,0.027054,30.0,0.961679,984.464893,276.859842
1261.0,64302.6386,1733066389.4,5.9080715,-0.43345088,338.507562,-24.834906,1.3609353,357.3691,6.3412037,1.6567135,0.81215499,-0.2098243,0.0763137,6.3412037,1.6567135,5.8915944,1.5392478,11.839434,0.19199,0.150897,0.010455,0.040565,30.0,0.208324,812.911567,300.521595
1262.0,64048.3803,1711098479.46,4.1370715,-0.66872526,237.036736,-38.315135,0.18257854,753.26182,13.460914,1.7640707,0.93795464,-0.080792643,0.1530397,13.460914,1.7640707,11.674285,1.5299306,11.846602,0.19071,0.164836,0.027746,0.034846,30.0,0.983379,320.236033,104.777721
1263.0,62857.523,1608208401.35,3.5844952,-1.2623488,205.376447,-72.327259,1.2883092,307.54417,3.0160684,1.2947301,-0.28913444,0.40725277,0.0661369,3.0160684,1.2947301,2.8289691,1.2144126,11.991867,0.14955,0.006698,0.00047,0.00229,30.0,0.278745,776.859404,223.916552
1264.0,61851.8339,1521316870.09,1.5978338,0.19498567,91.549133,11.171856,0.71139771,530.11312,10.69609,1.7961566,0.98259598,-0.44620088,0.1106339,10.69609,1.7961566,9.6306175,1.6172356,11.774842,0.20282,0.332374,0.044121,0.073752,30.0,0.75745,907.778307,298.538965
1265.0,62861.2191,1608527746.8,0.49255979,0.84435765,28.221597,48.37813,2.4409093,841.63808,3.4760466,1.2464504,0.42999208,0.34026891,0.1693126,3.4760466,1.2464504,2.9727266,1.0659685,12.028038,0.13087,0.182822,0.038541,0.049612,30.0,0.764402,1500.373718,462.514523
1266.0,64378.7185,1739639699.63,3.221382,-1.3123381,184.571593,-75.191434,0.64212551,812.33918,11.399715,1.3789457,0.94412993,0.45261114,0.163948,11.399715,1.3789457,9.794007,1.1847142,12.000713,0.14578,0.335311,0.112242,0.05668,30.0,0.800825,439.466623,127.572899
1267.0,61160.7349,1461605909.88,4.4952005,1.469,257.556017,84.1675,1.40639,152.70915,7.4185639,1.3426605,0.75525634,-0.33559828,0.0336095,7.4185639,1.3426605,7.1773372,1.2990017,11.965978,0.16031,0.135576,0.034923,0.025916,30.0,0.163667,741.005349,216.151024
1268.0,63234.4836,1640777798.97,0.57824439,0.59230927,33.130963,33.936821,2.8071954,964.65316,16.483594,1.4973353,0.94672884,0.39737371,0.1915256,16.483594,1.4973353,13.8340238,1.2566539,11.980512,0.1549,0.229971,0.088088,0.036043,30.0,0.944608,745.323374,187.593761
1269.0,64371.77,1739039350.17,5.9410904,-0.21428133,340.399406,-12.277416,1.7258072,119.36677,10.801603,1.1493063,0.80645734,0.4445923,0.0264103,10.801603,1.1493063,10.5236701,1.1197338,12.016636,0.1376,0.13547,0.063872,0.018189,30.0,0.154391,699.382204,228.411324
1270.0,63140.9453,1632696089.8,2.741568,-0.99062065,157.080276,-56.758382,3.0326641,817.33729,3.646884,1.2619597,0.82588559,0.40327719,0.1648652,3.646884,1.2619597,3.1307347,1.0833525,12.024604,0.13305,0.352325,0.055023,0.100504,30.0,0.994073,302.798037,73.766627
1271.0,63708.6624,1681746851.0,5.1487875,-0.42264323,295.003793,-24.215673,2.6652992,278.14135,7.294485,1.3648745,0.51578913,0.11100005,0.060068,7.294485,1.3648745,6.8811484,1.2875349,11.97005,0.15884,0.026594,0.002313,0.006277,30.0,0.8887,769.035078,237.295731
1272.0,62351.1407,1564456973.72,2.0639323,-0.88918584,118.25461,-50.946596,2.2522268,498.79948,2.3232495,1.4398834,0.23993362,-0.17848591,0.1045168,2.3232495,1.4398834,2.103408,1.3036319,11.964306,0.1609,0.091454,0.001492,0.035268,30.0,0.629905,299.113271,56.875758
1273.0,64234.0093,1727136817.73,5.4277681,1.402548,310.988204,80.360081,0.69602538,780.81933,15.184591,1.4516023,0.92046181,0.10726889,0.1581435,15.184591,1.4516023,13.1111482,1.2533873,11.981731,0.15448,0.18575,0.070696,0.029228,30.0,0.767397,543.329742,122.06654
