simulation_id,mjd_time,gps_time,longitude,latitude,ra,dec,inclination,distance,mass1,mass2,spin1z,spin2z,redshift,mass1_detector,mass2_detector,mass1_source,mass2_source,radius1,radius2,compactness1,compactness2,mej_dyn,mej_wind,mej_total,phi,costheta,distmean,diststd
90,64465.381,1747127333.06,4.1511292,1.4699447,237.842183,84.221627,0.837385,439.02733,1.5782496,1.4150594,-0.036413114,0.039674176,0.0927156,1.5782496,1.4150594,1.444337,1.2949933,11.809251,11.916406,0.19736,0.17536,0.003403,0.052853,0.056256,63.004258,0.669408,622.115656,146.616468
91,62091.578,1542030759.37,1.3751702,-0.46703729,78.791449,-26.759266,1.9183487,217.88079,1.4856632,1.4654732,0.0052168793,0.032707249,0.0474754,1.4856632,1.4654732,1.4183275,1.3990526,11.876269,11.887909,0.18473,0.18204,0.002968,0.026319,0.029287,27.242138,0.340598,452.717472,119.605555
93,62189.9015,1550525909.61,4.298287,-0.31136216,246.273704,-17.839738,2.8573772,991.40296,1.7575818,1.6562811,-0.027823831,0.017137028,0.1962924,1.7575818,1.6562811,1.4691908,1.3845119,11.61265,11.736702,0.2235,0.2084,0.004687,0.000105,0.004792,48.305097,0.959882,779.429237,232.185252
94,61276.2879,1471589693.45,3.2975846,0.57397112,188.93768,32.886123,0.88878494,394.60223,1.4745524,1.3645322,-0.038921499,-0.0064274967,0.0838338,1.4745524,1.3645322,1.3604968,1.2589866,11.883331,11.939814,0.18324,0.16877,0.002816,0.059501,0.062317,58.984278,0.630356,486.955212,141.542756
96,62549.7935,1581620574.49,2.3066977,1.0246288,132.164043,58.706906,2.1312238,119.18734,1.3736958,1.3316683,0.014218414,0.010849938,0.0263713,1.3736958,1.3316683,1.3384004,1.2974528,11.936248,11.953857,0.16995,0.16451,0.002407,0.05484,0.057247,51.959127,0.531548,181.022017,27.037915
97,61913.6698,1526659492.33,2.9724515,-0.042321864,170.308926,-2.424864,2.4296594,917.57871,1.5601913,1.4931965,-0.0011609149,-0.046190226,0.183083,1.5601913,1.4931965,1.3187505,1.2621232,11.822898,11.870829,0.19487,0.18575,0.003301,0.046931,0.050231,26.281484,0.7571,1186.084221,308.910535
98,62201.8535,1551558556.74,5.8243892,-0.80310806,333.712919,-46.014702,2.7219579,743.47197,1.5439063,1.370993,0.02662464,0.040046119,0.1512199,1.5439063,1.370993,1.3411046,1.1909045,11.835058,11.93732,0.19264,0.1696,0.003224,0.055765,0.058989,36.323074,0.913238,785.012724,259.996361
99,63921.0013,1700092927.37,3.9170715,0.66409494,224.431665,38.049837,1.0771633,727.17171,1.5885027,1.5857211,-0.026226596,0.028351413,0.1481822,1.5885027,1.5857211,1.3834936,1.381071,11.800283,11.802799,0.19879,0.1984,0.003622,0.012266,0.015888,62.027507,0.473828,946.048845,313.321071
101,64274.1958,1730608934.89,5.5494821,0.96150342,317.961903,55.090088,2.4469084,384.77279,1.6156818,1.3100312,-0.019804411,-0.048142319,0.0818554,1.6156818,1.3100312,1.493436,1.2109116,11.776367,11.961973,0.2026,0.16173,0.004211,0.034738,0.038949,48.253591,0.768256,386.168823,139.913533
102,61650.0658,1503884098.97,5.2918127,-0.57083059,303.198534,-32.706184,1.7186163,277.28798,1.4030114,1.3179609,0.018416198,-0.0098309524,0.0598911,1.4030114,1.3179609,1.3237316,1.2434871,11.921954,11.959032,0.17379,0.16274,0.002495,0.023656,0.026151,15.313777,0.147282,452.086412,134.619128
103,62303.7813,1560365118.9,0.67546942,-0.012283228,38.701547,-0.703777,0.84779266,396.76753,1.4082504,1.380553,0.011517295,0.042807672,0.084269,1.4082504,1.380553,1.2988017,1.273257,11.919025,11.932718,0.17448,0.17085,0.002577,0.062549,0.065126,60.659446,0.66164,561.875115,136.771089
104,64250.207,1728536299.98,2.509917,0.27129061,143.807651,15.543807,0.9989039,537.11139,1.4211448,1.2979054,-0.03024673,-0.02907991,0.111995,1.4211448,1.2979054,1.2780136,1.1671864,11.912695,11.966372,0.17617,0.16017,0.002575,0.050386,0.05296,17.118681,0.541224,810.69143,268.320461
105,61216.3296,1466409296.51,5.0662051,1.1242633,290.27217,64.415542,2.1928357,348.61697,1.5172968,1.3607635,0.0051661749,-0.03289356,0.0745356,1.5172968,1.3607635,1.4120489,1.2663736,11.855004,11.941513,0.189,0.16828,0.003059,0.03403,0.037089,59.744027,0.582694,484.252436,153.045362
107,61323.2618,1475648241.7,5.2381856,-0.13717783,300.125927,-7.859711,2.4413243,729.05255,1.6745494,1.5497209,-0.0048819458,0.011417296,0.1485332,1.6745494,1.5497209,1.4579896,1.3493044,11.716767,11.831901,0.21105,0.19342,0.004006,0.00854,0.012546,27.148834,0.764669,536.026037,177.376803
